,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
320,BEAR FLAT,FLAC1,-120.314022,41.295317,5972,6.1,2,America/Los_Angeles,7/12/2005 0:00,10/20/2017 19:06, 
319,SAC NWR QD,NWQC1,-122.183889,39.446111,95,6.1,2,America/Los_Angeles,7/12/2005 0:00,10/20/2017 18:52, 
318,SHIP MTN,SHXC1,-123.793472,41.729028,5151,6.1,2,America/Los_Angeles,8/30/2005 0:00,10/20/2017 18:57, 
317,ENF02 PORTABLE,TS445,-120.261528,38.537417,6045,6.1,2,America/Los_Angeles,10/18/2005 0:00,10/20/2017 19:36, 
316,ARB1 PORTABLE,TS392,-122.682339,38.815719,3580,6.1,2,America/Los_Angeles,2/25/2005 0:00,10/19/2017 20:53, 
315,ARB3 PORTABLE,TS388,-121.491111,39.542222,910,6.1,2,America/Los_Angeles,2/25/2005 0:00,10/20/2017 18:53, 
314,ARB2 PORTABLE,ANUC1,-120.786719,38.353786,1465,6.1,2,America/Los_Angeles,2/25/2005 0:00,10/20/2017 18:53, 
313,MNF03 PORTABLE,TS378,-122.671267,39.35925,2220,6.1,2,America/Los_Angeles,7/27/2005 0:00,10/20/2017 19:28, 
312,PIUTES,PIVC1,-118.278825,35.444508,6475,6.1,2,America/Los_Angeles,11/24/2004 0:00,10/20/2017 18:51, 
327,SHF02 PORTABLE,TS624,-123.057778,40.808333,2180,6.1,2,America/Los_Angeles,8/21/2006 0:00,9/23/2017 21:27, 
328,COLD SPRINGS,CSZC1,-120.319389,41.781422,6379,6.1,2,America/Los_Angeles,10/3/2006 0:00,10/20/2017 18:58, 
329,KRN02,TMNC1,-118.481111,35.071389,5672,6.1,2,America/Los_Angeles,11/20/2006 0:00,10/20/2017 18:53, 
330,LYNCH CANYON,LYQC1,-118.405,35.611667,3141,6.1,2,America/Los_Angeles,1/12/2007 0:00,10/20/2017 19:18, 
353,LNF08 PORTABLE,TS924,-121.198306,40.862583,5257,6.1,2,America/Los_Angeles,7/12/2010 0:00,10/20/2017 19:08, 
352,HOMEWOOD,HMDC1,-120.171153,39.0835,7121,6.1,2,America/Los_Angeles,6/23/2010 0:00,10/20/2017 15:19, 
351,KNOX 2,KNXN2,-119.963,39.272833,7568,6.1,2,America/Los_Angeles,6/21/2010 0:00,10/20/2017 19:19, 
348,ENF03 PORTABLE,TS903,-120.729289,38.825261,2713,6.1,2,America/Los_Angeles,5/20/2010 0:00,10/20/2017 19:37, 
347,SHF08 Portable,TS901,-122.1577,40.779,2249,6.1,2,America/Los_Angeles,7/26/2010 0:00,10/20/2017 19:35, 
230,SEEDORCHARD,FSHC1,-120.731667,39.091389,4355,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:33, 
341,BRUSH MOUNTAIN,BHTC1,-123.668819,40.913933,3941,6.1,2,America/Los_Angeles,1/1/2010 0:00,10/20/2017 19:46, 
355,LNF09 PORTABLE,POBC1,-121.38,40.528,3900,6.1,2,America/Los_Angeles,9/20/2010 0:00,10/20/2017 19:09, 
340,ALTAMONT,AATC1,-121.609333,37.693028,1436,6.1,2,America/Los_Angeles,5/22/2009 0:00,10/20/2017 19:12, 
338,TWISSELMAN,TWMC1,-119.823333,35.3625,3232,6.1,2,America/Los_Angeles,11/21/2008 0:00,10/20/2017 19:13, 
337,HART FLAT,HFLC1,-118.600278,35.251111,2685,6.1,2,America/Los_Angeles,11/22/2008 0:00,10/20/2017 19:13, 
